rfam_acc	term
RF00929	GO:0035195
RF00931	GO:0035195
RF00932	GO:0035195
RF00933	GO:0035195
RF00934	GO:0035195
RF00935	GO:0035195
RF00936	GO:0035195
RF00937	GO:0035195
RF00939	GO:0035195
RF00940	GO:0035195
RF00941	GO:0035195
RF00942	GO:0035195
RF00943	GO:0035195
RF00945	GO:0035195
RF00946	GO:0035195
RF00947	GO:0035195
RF00948	GO:0035195
RF00949	GO:0035195
RF00950	GO:0035195
RF00951	GO:0035195
RF00952	GO:0035195
RF00953	GO:0035195
RF00954	GO:0035195
RF00955	GO:0035195
RF00956	GO:0035195
RF00957	GO:0035195
RF00958	GO:0035195
RF00959	GO:0035195
RF00960	GO:0035195
RF00961	GO:0035195
RF00962	GO:0035195
RF00963	GO:0035195
RF00964	GO:0035195
RF00965	GO:0035195
RF00966	GO:0035195
RF00967	GO:0035195
RF00968	GO:0035195
RF00969	GO:0035195
RF00970	GO:0035195
RF00971	GO:0035195
RF00972	GO:0035195
RF00973	GO:0035195
RF00974	GO:0035195
RF00975	GO:0035195
RF00976	GO:0035195
RF00977	GO:0035195
RF00978	GO:0035195
RF00979	GO:0035195
RF00980	GO:0035195
RF00981	GO:0035195
RF00983	GO:0035195
RF00984	GO:0035195
RF00985	GO:0035195
RF00986	GO:0035195
RF00987	GO:0035195
RF00988	GO:0035195
RF00989	GO:0035195
RF00990	GO:0035195
RF00991	GO:0035195
RF00992	GO:0035195
RF00993	GO:0035195
RF00994	GO:0035195
RF00995	GO:0035195
RF00996	GO:0035195
RF00997	GO:0035195
RF00998	GO:0035195
RF00999	GO:0035195
RF01000	GO:0035195
RF01001	GO:0035195
RF01002	GO:0035195
RF01003	GO:0035195
RF01004	GO:0035195
RF01005	GO:0035195
RF01006	GO:0035195
RF01007	GO:0035195
RF01008	GO:0035195
RF01009	GO:0035195
RF01010	GO:0035195
RF01011	GO:0035195
RF01012	GO:0035195
RF01013	GO:0035195
RF01014	GO:0035195
RF01015	GO:0035195
RF01016	GO:0035195
RF01017	GO:0035195
RF01018	GO:0035195
RF01019	GO:0035195
RF01020	GO:0035195
RF01021	GO:0035195
RF01022	GO:0035195
RF01023	GO:0035195
RF01024	GO:0035195
RF01025	GO:0035195
RF01026	GO:0035195
RF01027	GO:0035195
RF01028	GO:0035195
RF01029	GO:0035195
RF01030	GO:0035195
RF01031	GO:0035195
RF01032	GO:0035195
RF01033	GO:0035195
RF01034	GO:0035195
RF01035	GO:0035195
RF01036	GO:0035195
RF01037	GO:0035195
RF01038	GO:0035195
RF01039	GO:0035195
RF01040	GO:0035195
RF01041	GO:0035195
RF01042	GO:0035195
RF01043	GO:0035195
RF01044	GO:0035195
RF01045	GO:0035195
RF01047	GO:0019079
RF01054	GO:0008616
RF01059	GO:0035195
RF01061	GO:0035195
RF01063	GO:0035195
RF01064	GO:0035195
RF01117	GO:0035195
RF01119	GO:0006396
RF01120	GO:0006396
RF01121	GO:0006396
RF01122	GO:0006396
RF01123	GO:0006396
RF01124	GO:0006396
RF01125	GO:0006396
RF01126	GO:0006396
RF01127	GO:0006396
RF01128	GO:0006396
RF01129	GO:0006396
RF01130	GO:0006396
RF01131	GO:0006396
RF01132	GO:0006396
RF01133	GO:0006396
RF01134	GO:0006396
RF01135	GO:0006396
RF01136	GO:0006396
RF01137	GO:0006396
RF01138	GO:0006396
RF01139	GO:0006396
RF01140	GO:0006396
RF01141	GO:0006396
RF01142	GO:0006396
RF01143	GO:0006396
RF01144	GO:0006396
RF01145	GO:0006396
RF01146	GO:0006396
RF01147	GO:0006396
RF01148	GO:0006396
RF01149	GO:0006396
RF01150	GO:0006396
RF01151	GO:0006396
RF01152	GO:0006396
RF01153	GO:0006396
RF01155	GO:0006396
RF01156	GO:0006396
RF01157	GO:0006396
RF01158	GO:0006396
RF01159	GO:0006396
RF01160	GO:0006396
RF01161	GO:0006396
RF01162	GO:0006396
RF01163	GO:0006396
RF01164	GO:0006396
RF01165	GO:0006396
RF01166	GO:0006396
RF01167	GO:0006396
RF01168	GO:0006396
RF01169	GO:0006396
RF01170	GO:0006396
RF01171	GO:0006396
RF01172	GO:0006396
RF01173	GO:0006396
RF01174	GO:0006396
RF01175	GO:0006396
RF01176	GO:0006396
RF01177	GO:0006396
RF01178	GO:0006396
RF01179	GO:0006396
RF01180	GO:0006396
RF01181	GO:0006396
RF01182	GO:0006396
RF01183	GO:0006396
RF01184	GO:0006396
RF01185	GO:0006396
RF01186	GO:0006396
RF01188	GO:0006396
RF01189	GO:0006396
RF01190	GO:0006396
RF01191	GO:0006396
RF01192	GO:0006396
RF01193	GO:0006396
RF01194	GO:0006396
RF01195	GO:0006396
RF01196	GO:0006396
RF01197	GO:0006396
RF01198	GO:0006396
RF01199	GO:0006396
RF01200	GO:0006396
RF01201	GO:0006396
RF01202	GO:0006396
RF01203	GO:0006396
RF01204	GO:0006396
RF01205	GO:0006396
RF01206	GO:0006396
RF01207	GO:0006396
RF01208	GO:0006396
RF01209	GO:0006396
RF01210	GO:0006396
RF01211	GO:0006396
RF01212	GO:0006396
RF01213	GO:0006396
RF01214	GO:0006396
RF01215	GO:0006396
RF01216	GO:0006396
RF01218	GO:0006396
RF01219	GO:0006396
RF01220	GO:0006396
RF01221	GO:0006396
RF01222	GO:0006396
RF01223	GO:0006396
RF01224	GO:0006396
RF01225	GO:0006396
RF01226	GO:0006396
RF01227	GO:0006396
RF01228	GO:0006396
RF01229	GO:0006396
RF01230	GO:0006396
RF01231	GO:0006396
RF01232	GO:0006396
RF01233	GO:0006396
RF01234	GO:0006396
RF01235	GO:0006396
RF01236	GO:0006396
RF01237	GO:0006396
RF01238	GO:0006396
RF01239	GO:0006396
RF01240	GO:0006396
RF01241	GO:0006396
RF01242	GO:0006396
RF01243	GO:0006396
RF01244	GO:0006396
RF01245	GO:0006396
RF01246	GO:0006396
RF01247	GO:0006396
RF01248	GO:0006396
RF01249	GO:0006396
RF01250	GO:0006396
RF01251	GO:0006396
RF01252	GO:0006396
RF01253	GO:0006396
RF01254	GO:0006396
RF01255	GO:0006396
RF01256	GO:0006396
RF01257	GO:0006396
RF01258	GO:0006396
RF01259	GO:0006396
RF01260	GO:0006396
RF01261	GO:0006396
RF01262	GO:0006396
RF01263	GO:0006396
RF01264	GO:0006396
RF01265	GO:0006396
RF01266	GO:0006396
RF01267	GO:0006396
RF01268	GO:0006396
RF01269	GO:0006396
RF01270	GO:0006396
RF01271	GO:0006396
RF01272	GO:0006396
RF01273	GO:0006396
RF01274	GO:0006396
RF01275	GO:0006396
RF01276	GO:0006396
RF01277	GO:0006396
RF01278	GO:0006396
RF01279	GO:0006396
RF01280	GO:0006396
RF01281	GO:0006396
RF01283	GO:0006396
RF01284	GO:0006396
RF01285	GO:0006396
RF01286	GO:0006396
RF01287	GO:0006396
RF01288	GO:0006396
RF01289	GO:0006396
RF01290	GO:0006396
RF01291	GO:0006396
RF01292	GO:0006396
RF01293	GO:0006396
RF01294	GO:0006396
RF01295	GO:0006396
RF01296	GO:0006396
RF01297	GO:0006396
RF01298	GO:0006396
RF01299	GO:0006396
RF01300	GO:0006396
RF01301	GO:0006396
RF01302	GO:0006396
RF01303	GO:0006396
RF01304	GO:0006396
RF01305	GO:0006396
RF01306	GO:0006396
RF01307	GO:0006396
RF01308	GO:0006396
RF01309	GO:0006396
RF01310	GO:0006396
RF01311	GO:0006396
RF01312	GO:0006396
RF01313	GO:0019079
RF01314	GO:0035195
RF01413	GO:0035195
RF01420	GO:0006396
RF01421	GO:0006396
RF01422	GO:0006396
RF01423	GO:0006396
RF01424	GO:0006396
RF01425	GO:0006396
RF01426	GO:0006396
RF01427	GO:0006396
RF01428	GO:0006396
RF01429	GO:0006396
RF01430	GO:0006396
RF01431	GO:0006396
RF01432	GO:0006396
RF01433	GO:0006396
RF01434	GO:0006396
RF01435	GO:0006396
RF01436	GO:0006396
RF01437	GO:0006396
RF01438	GO:0006396
RF01439	GO:0006396
RF01440	GO:0006396
RF01441	GO:0006396
RF01442	GO:0006396
RF01443	GO:0006396
RF01444	GO:0006396
RF01445	GO:0006396
RF01446	GO:0006396
RF01447	GO:0006396
RF01448	GO:0006396
RF01449	GO:0006396
RF01450	GO:0006396
RF01451	GO:0006396
RF01452	GO:0006396
RF01482	GO:0045893
RF01482	GO:0046336
RF01495	GO:0006446
RF01498	GO:0006396
RF01499	GO:0006396
RF01500	GO:0006396
RF01501	GO:0006396
RF01502	GO:0006617
RF01505	GO:0006396
RF01506	GO:0006396
RF01507	GO:0006396
RF01509	GO:0006396
RF01510	GO:0031554
RF01511	GO:0006396
RF01513	GO:0006396
RF01514	GO:0006396
RF01515	GO:0006396
RF01516	GO:0006396
RF01517	GO:0075139
RF01518	GO:0006338
RF01522	GO:0006396
RF01523	GO:0006396
RF01524	GO:0006396
RF01525	GO:0006396
RF01526	GO:0006396
RF01531	GO:0006396
RF01532	GO:0006396
RF01533	GO:0006396
RF01534	GO:0006396
RF01535	GO:0006396
RF01536	GO:0006396
RF01537	GO:0006396
RF01538	GO:0006396
RF01539	GO:0006396
RF01540	GO:0006396
RF01541	GO:0006396
RF01542	GO:0006396
RF01543	GO:0006396
RF01544	GO:0006396
RF01545	GO:0006396
RF01546	GO:0006396
RF01547	GO:0006396
RF01548	GO:0006396
RF01549	GO:0006396
RF01550	GO:0006396
RF01551	GO:0006396
RF01552	GO:0006396
RF01553	GO:0006396
RF01554	GO:0006396
RF01555	GO:0006396
RF01556	GO:0006396
RF01557	GO:0006396
RF01558	GO:0006396
RF01559	GO:0006396
RF01560	GO:0006396
RF01561	GO:0006396
RF01562	GO:0006396
RF01563	GO:0006396
RF01564	GO:0006396
RF01565	GO:0006396
RF01566	GO:0006396
RF01567	GO:0006396
RF01568	GO:0006396
RF01569	GO:0006396
RF01572	GO:0006396
RF01573	GO:0006396
RF01574	GO:0006396
RF01575	GO:0006396
RF01576	GO:0006396
RF01583	GO:0006396
RF01584	GO:0006396
RF01585	GO:0006396
RF01586	GO:0006396
RF01587	GO:0006396
RF01588	GO:0006396
RF01589	GO:0006396
RF01590	GO:0006396
RF01591	GO:0006396
RF01592	GO:0006396
RF01593	GO:0006396
RF01594	GO:0006396
RF01595	GO:0006396
RF01596	GO:0006396
RF01597	GO:0006396
RF01598	GO:0006396
RF01599	GO:0006396
RF01600	GO:0006396
RF01601	GO:0006396
RF01602	GO:0006396
RF01603	GO:0006396
RF01604	GO:0006396
RF01605	GO:0006396
RF01606	GO:0006396
RF01607	GO:0006396
RF01608	GO:0006396
RF01609	GO:0006396
RF01610	GO:0006396
RF01611	GO:0006396
RF01612	GO:0006396
RF01613	GO:0006396
RF01614	GO:0006396
RF01615	GO:0006396
RF01617	GO:0006396
RF01618	GO:0006396
RF01620	GO:0006396
RF01621	GO:0006396
RF01622	GO:0006396
RF01624	GO:0006396
RF01625	GO:0006396
RF01626	GO:0006396
RF01627	GO:0006396
RF01628	GO:0006396
RF01629	GO:0006396
RF01630	GO:0006396
RF01631	GO:0006396
RF01632	GO:0006396
RF01633	GO:0006396
RF01634	GO:0006396
