from	to
KW:0644	KW:0643
KW:0645	KW:0031
KW:0645	KW:0064
KW:0645	KW:0121
KW:0645	KW:0224
KW:0645	KW:0482
KW:0645	KW:0720
KW:0645	KW:0788
KW:0645	KW:0888
KW:0646	KW:0062
KW:0646	KW:0483
KW:0646	KW:0722
KW:0646	KW:0789
KW:0653	KW:0080
KW:0653	KW:0571
KW:0653	KW:0811
KW:0653	KW:1006
KW:0654	KW:0357
KW:0658	KW:0332
KW:0675	KW:0600
KW:0675	KW:1183
KW:0687	KW:0689
KW:0694	KW:0699
KW:0694	KW:0820
KW:0716	KW:0552
KW:0716	KW:0844
KW:0716	KW:0919
KW:0742	KW:0741
KW:0749	KW:0183
KW:0752	KW:1069
KW:0753	KW:0088
KW:0753	KW:1207
KW:0756	KW:0152
KW:0758	KW:0708
KW:0762	KW:0625
KW:0770	KW:0628
KW:0770	KW:0771
KW:0800	KW:0123
KW:0800	KW:0260
KW:0800	KW:0528
KW:0800	KW:0872
KW:0800	KW:0959
KW:0800	KW:1199
KW:0800	KW:1213
KW:0800	KW:1216
KW:0800	KW:1217
KW:0804	KW:0805
KW:0805	KW:0806
KW:0805	KW:0889
KW:0807	KW:0297
KW:0808	KW:0012
KW:0808	KW:0032
