from	to
PO:0006016	PO:0025249
PO:0006018	PO:0000050
PO:0006018	PO:0025191
PO:0006018	PO:0025211
PO:0006018	PO:0025214
PO:0006019	PO:0000049
PO:0006019	PO:0025190
PO:0006019	PO:0025210
PO:0006019	PO:0025213
PO:0006023	PO:0006024
PO:0006023	PO:0006025
PO:0006023	PO:0025541
PO:0006035	PO:0000112
PO:0006035	PO:0000207
PO:0006035	PO:0002000
PO:0006035	PO:0005013
PO:0006035	PO:0025157
PO:0006035	PO:0025165
PO:0006036	PO:0006039
PO:0006036	PO:0006042
PO:0006036	PO:0025164
PO:0006040	PO:0006054
PO:0006040	PO:0006055
PO:0006040	PO:0025182
PO:0006040	PO:0025499
PO:0006041	PO:0006052
PO:0006041	PO:0006053
PO:0006041	PO:0025187
PO:0006043	PO:0006044
PO:0006043	PO:0006045
PO:0006048	PO:0004511
PO:0006048	PO:0006050
PO:0006048	PO:0006051
PO:0006048	PO:0006218
PO:0006048	PO:0006219
PO:0006048	PO:0020061
PO:0006056	PO:0006057
PO:0006056	PO:0006058
PO:0006061	PO:0025168
PO:0006063	PO:0005023
PO:0006063	PO:0005024
PO:0006068	PO:0006072
PO:0006069	PO:0006071
PO:0006070	PO:0004006
PO:0006070	PO:0005645
PO:0006070	PO:0005647
PO:0006070	PO:0005648
PO:0006070	PO:0006071
PO:0006070	PO:0006072
PO:0006073	PO:0006346
PO:0006073	PO:0006347
PO:0006075	PO:0006076
PO:0006075	PO:0006077
PO:0006075	PO:0006216
PO:0006075	PO:0025452
PO:0006075	PO:0025454
PO:0006075	PO:0025455
PO:0006079	PO:0000232
PO:0006079	PO:0006073
PO:0006079	PO:0020148
PO:0006085	PO:0020147
PO:0006085	PO:0025194
PO:0006109	PO:0005040
PO:0006109	PO:0005041
PO:0006109	PO:0025052
PO:0006109	PO:0025058
PO:0006202	PO:0025050
PO:0006203	PO:0025261
PO:0006204	PO:0000431
PO:0006204	PO:0020047
PO:0006210	PO:0006082
PO:0006210	PO:0006083
PO:0006309	PO:0006310
PO:0006309	PO:0006311
PO:0006309	PO:0006312
PO:0006309	PO:0006368
PO:0006309	PO:0006370
PO:0006309	PO:0006372
PO:0006309	PO:0006379
PO:0006310	PO:0006313
PO:0006310	PO:0006314
PO:0006310	PO:0006315
PO:0006310	PO:0006316
PO:0006311	PO:0006315
PO:0006311	PO:0006316
PO:0006311	PO:0006386
PO:0006311	PO:0006387
PO:0006311	PO:0006389
PO:0006312	PO:0006313
PO:0006312	PO:0006314
PO:0006312	PO:0006385
PO:0006312	PO:0006388
PO:0006312	PO:0006390
