SeqID	termID
120227	HP:0000001
1203	HP:0000001
120892	HP:0000001
121340	HP:0000001
121391	HP:0000001
121512	HP:0000001
122042	HP:0000001
123016	HP:0000001
123263	HP:0000001
123606	HP:0000001
123872	HP:0000001
124093	HP:0000001
1244	HP:0000001
124404	HP:0000001
124454	HP:0000001
124583	HP:0000001
124590	HP:0000001
124997	HP:0000001
1258	HP:0000001
1259	HP:0000001
125972	HP:0000001
1261	HP:0000001
126326	HP:0000001
126328	HP:0000001
126410	HP:0000001
1272	HP:0000001
127534	HP:0000001
1277	HP:0000001
1278	HP:0000001
1280	HP:0000001
1281	HP:0000001
128178	HP:0000001
1282	HP:0000001
1284	HP:0000001
1285	HP:0000001
1286	HP:0000001
128674	HP:0000001
1287	HP:0000001
1288	HP:0000001
128866	HP:0000001
1289	HP:0000001
1290	HP:0000001
1291	HP:0000001
1292	HP:0000001
1293	HP:0000001
1294	HP:0000001
129563	HP:0000001
1296	HP:0000001
1297	HP:0000001
1298	HP:0000001
129880	HP:0000001
1299	HP:0000001
1300	HP:0000001
1301	HP:0000001
1302	HP:0000001
130557	HP:0000001
1308	HP:0000001
1311	HP:0000001
131118	HP:0000001
1312	HP:0000001
1316	HP:0000001
131669	HP:0000001
132	HP:0000001
132158	HP:0000001
1326	HP:0000001
132884	HP:0000001
133396	HP:0000001
1340	HP:0000001
134430	HP:0000001
1349	HP:0000001
1355	HP:0000001
1356	HP:0000001
135935	HP:0000001
136647	HP:0000001
1369	HP:0000001
1371	HP:0000001
1373	HP:0000001
1374	HP:0000001
137492	HP:0000001
1376	HP:0000001
137682	HP:0000001
137814	HP:0000001
1380	HP:0000001
138050	HP:0000001
1387	HP:0000001
1392	HP:0000001
139285	HP:0000001
1406	HP:0000001
140803	HP:0000001
1410	HP:0000001
1411	HP:0000001
1413	HP:0000001
1414	HP:0000001
1415	HP:0000001
1417	HP:0000001
1420	HP:0000001
1421	HP:0000001
142680	HP:0000001
1436	HP:0000001
1438	HP:0000001
1439	HP:0000001
1441	HP:0000001
144165	HP:0000001
145173	HP:0000001
145226	HP:0000001
145282	HP:0000001
145873	HP:0000001
146057	HP:0000001
146059	HP:0000001
146183	HP:0000001
1462	HP:0000001
146227	HP:0000001
1471	HP:0000001
147138	HP:0000001
147372	HP:0000001
147409	HP:0000001
147495	HP:0000001
1475	HP:0000001
1476	HP:0000001
147912	HP:0000001
1482	HP:0000001
148738	HP:0000001
148789	HP:0000001
1490	HP:0000001
1491	HP:0000001
149461	HP:0000001
1497	HP:0000001
149775	HP:0000001
1499	HP:0000001
1501	HP:0000001
1509	HP:0000001
1513	HP:0000001
152137	HP:0000001
1528	HP:0000001
153201	HP:0000001
1535	HP:0000001
153562	HP:0000001
1536	HP:0000001
1540	HP:0000001
154288	HP:0000001
1543	HP:0000001
1544	HP:0000001
1545	HP:0000001
1548	HP:0000001
154881	HP:0000001
1557	HP:0000001
1559	HP:0000001
1565	HP:0000001
157570	HP:0000001
157657	HP:0000001
157680	HP:0000001
158	HP:0000001
158326	HP:0000001
1584	HP:0000001
1585	HP:0000001
1586	HP:0000001
1588	HP:0000001
158866	HP:0000001
1589	HP:0000001
1591	HP:0000001
1593	HP:0000001
1594	HP:0000001
16	HP:0000001
1605	HP:0000001
161497	HP:0000001
1617	HP:0000001
161742	HP:0000001
1621	HP:0000001
1622	HP:0000001
162417	HP:0000001
162514	HP:0000001
1629	HP:0000001
1630	HP:0000001
1633	HP:0000001
1634	HP:0000001
1636	HP:0000001
1637	HP:0000001
1639	HP:0000001
1641	HP:0000001
1642	HP:0000001
1643	HP:0000001
1644	HP:0000001
1646	HP:0000001
164656	HP:0000001
1649	HP:0000001
1650	HP:0000001
165918	HP:0000001
1663	HP:0000001
166336	HP:0000001
166379	HP:0000001
1666	HP:0000001
166785	HP:0000001
1674	HP:0000001
1675	HP:0000001
167691	HP:0000001
1678	HP:0000001
168391	HP:0000001
168667	HP:0000001
1687	HP:0000001
