sunid	term	fdr	score
49599	UPA00026	0	0.39
49723	UPA00026	0	0.35
49742	UPA00026	0	0.11
49764	UPA00026	0	0.07
49785	UPA00026	0	0.45
49879	UPA00026	0	0.2
49899	UPA00026	0	0.62
50022	UPA00026	0	0.34
50037	UPA00026	0	0.07
50044	UPA00026	0	0.19
50090	UPA00026	0	0.1
50104	UPA00026	0	0.99
50129	UPA00026	0	0.61
50156	UPA00026	0	0.1
50249	UPA00026	0	1
50370	UPA00026	0	0.37
50443	UPA00026	0	0.49
50447	UPA00026	0	0.54
50465	UPA00026	0	0.41
50475	UPA00026	0	0.89
50486	UPA00026	0	0.33
50621	UPA00026	0	0.89
50692	UPA00026	0	0.76
50729	UPA00026	0	0.13
50800	UPA00026	0	0.42
50891	UPA00026	0	0.11
50911	UPA00026	0	0.11
50965	UPA00026	0	0.24
50969	UPA00026	0	0.07
50974	UPA00026	0	0.31
50978	UPA00026	0	0.6
50985	UPA00026	0	0.19
50998	UPA00026	0	0.18
51011	UPA00026	0	0.79
51045	UPA00026	0	0.27
51120	UPA00026	0	0.13
51126	UPA00026	0	0.59
51161	UPA00026	0	1.73
51182	UPA00026	0	1
51197	UPA00026	0	0.54
51230	UPA00026	0	0.44
51246	UPA00026	0	0.83
51278	UPA00026	0	0.65
51283	UPA00026	0	1.1
51316	UPA00026	0	0.22
51338	UPA00026	0	1.1
51351	UPA00026	0	0.99
51366	UPA00026	0	2.29
51391	UPA00026	0	0.75
51395	UPA00026	0	1.06
51412	UPA00026	0	0.41
51419	UPA00026	0	0.91
51430	UPA00026	0	0.3
51445	UPA00026	0	1.14
51556	UPA00026	0	1.33
51569	UPA00026	0	2.1
51604	UPA00026	0	1.27
51621	UPA00026	0	1.14
51645	UPA00026	0	0.41
51649	UPA00026	0	0.21
51658	UPA00026	0	0.61
51679	UPA00026	0	0.16
51690	UPA00026	0	0.52
51703	UPA00026	0	0.17
51713	UPA00026	0	0.87
51717	UPA00026	0	0.69
51726	UPA00026	0	1.13
51730	UPA00026	0	0.3
51735	UPA00026	0	3.49
51905	UPA00026	0	1.32
51971	UPA00026	0	0.24
51984	UPA00026	0	1.34
51998	UPA00026	0	108.74
52009	UPA00026	0	0.24
52016	UPA00026	0	1.37
52021	UPA00026	0	0.59
52025	UPA00026	0	0.2
52047	UPA00026	0	0.36
52058	UPA00026	0	0.07
52096	UPA00026	0	1.4
52113	UPA00026	0	0.15
52121	UPA00026	0	0.92
52151	UPA00026	0	0.31
52172	UPA00026	0	0.09
52210	UPA00026	0	0.91
52218	UPA00026	0	0.42
52242	UPA00026	0	0.34
52255	UPA00026	0	0.27
52266	UPA00026	0	0.1
52279	UPA00026	0	0.44
52283	UPA00026	0	0.72
52304	UPA00026	0	0.74
52309	UPA00026	0	0.07
52317	UPA00026	0	2.06
52335	UPA00026	0	1.06
52343	UPA00026	0	0.53
52374	UPA00026	0	1.8
52402	UPA00026	0	2.1
52413	UPA00026	0	0.32
52418	UPA00026	0	1.04
52440	UPA00026	0	1.53
52467	UPA00026	0	0.68
52499	UPA00026	0	0.14
52507	UPA00026	0	0.2
52518	UPA00026	0	1.22
52540	UPA00026	0	2.94
52733	UPA00026	0	0.58
52768	UPA00026	0	0.52
52777	UPA00026	0	0.47
52788	UPA00026	0	0.11
52799	UPA00026	0	0.09
52821	UPA00026	0	0.42
52833	UPA00026	0	0.3
52922	UPA00026	0	0.93
52935	UPA00026	0	0.41
