interpro	term
IPR000509	GO:0003735
IPR000510	GO:0016491
IPR000511	GO:0004408
IPR000512	GO:0047286
IPR000514	GO:0004553
IPR000516	GO:0005506
IPR000516	GO:0009055
IPR000518	GO:0046872
IPR000522	GO:0005215
IPR000523	GO:0016851
IPR000524	GO:0003700
IPR000525	GO:0003887
IPR000526	GO:0004872
IPR000527	GO:0003774
IPR000528	GO:0008289
IPR000529	GO:0003735
IPR000529	GO:0019843
IPR000530	GO:0003735
IPR000531	GO:0004872
IPR000531	GO:0005215
IPR000532	GO:0005179
IPR000534	GO:0016620
IPR000534	GO:0051287
IPR000535	GO:0005198
IPR000536	GO:0003700
IPR000536	GO:0003707
IPR000537	GO:0004659
IPR000538	GO:0005540
IPR000541	GO:0000049
IPR000542	GO:0016746
IPR000544	GO:0016415
IPR000545	GO:0004461
IPR000545	GO:0005509
IPR000548	GO:0019911
IPR000550	GO:0003848
IPR000551	GO:0003677
IPR000552	GO:0003735
IPR000554	GO:0003735
IPR000555	GO:0005515
IPR000556	GO:0004553
IPR000556	GO:0008810
IPR000558	GO:0003677
IPR000559	GO:0004329
IPR000559	GO:0005524
IPR000560	GO:0003993
IPR000563	GO:0003774
IPR000565	GO:0003677
IPR000565	GO:0003918
IPR000565	GO:0005524
IPR000568	GO:0015078
IPR000569	GO:0004842
IPR000571	GO:0046872
IPR000572	GO:0009055
IPR000574	GO:0005198
IPR000579	GO:0019829
IPR000580	GO:0003700
IPR000581	GO:0003824
IPR000582	GO:0000062
IPR000584	GO:0005245
IPR000586	GO:0004994
IPR000587	GO:0016787
IPR000588	GO:0004190
IPR000589	GO:0003735
IPR000590	GO:0004421
IPR000592	GO:0003735
IPR000593	GO:0005099
IPR000594	GO:0003824
IPR000596	GO:0004951
IPR000597	GO:0003735
IPR000602	GO:0004559
IPR000604	GO:0005198
IPR000604	GO:0015288
IPR000605	GO:0003723
IPR000605	GO:0003724
IPR000607	GO:0003723
IPR000607	GO:0003726
IPR000608	GO:0016881
IPR000609	GO:0004888
IPR000610	GO:0004993
IPR000611	GO:0004983
IPR000617	GO:0045735
IPR000618	GO:0042302
IPR000621	GO:0004977
IPR000622	GO:0005215
IPR000625	GO:0003700
IPR000626	GO:0005515
IPR000627	GO:0003824
IPR000627	GO:0008199
IPR000628	GO:0005000
IPR000629	GO:0003676
IPR000629	GO:0005524
IPR000629	GO:0008026
IPR000630	GO:0003735
IPR000633	GO:0005198
IPR000634	GO:0030170
IPR000635	GO:0003697
IPR000638	GO:0005198
IPR000639	GO:0003824
IPR000641	GO:0005524
IPR000642	GO:0004222
IPR000642	GO:0005524
IPR000643	GO:0004800
IPR000644	GO:0030554
IPR000645	GO:0008565
IPR000646	GO:0031423
IPR000647	GO:0003700
IPR000650	GO:0005198
IPR000651	GO:0005085
IPR000652	GO:0004807
IPR000654	GO:0001664
IPR000654	GO:0003924
IPR000654	GO:0004871
IPR000654	GO:0005525
IPR000654	GO:0031683
IPR000655	GO:0003677
IPR000659	GO:0004733
IPR000662	GO:0005198
IPR000663	GO:0005179
IPR000665	GO:0004308
IPR000665	GO:0046789
IPR000667	GO:0004185
IPR000668	GO:0008234
IPR000669	GO:0003824
IPR000670	GO:0001604
IPR000671	GO:0008047
IPR000671	GO:0008233
IPR000672	GO:0003824
IPR000672	GO:0004488
IPR000673	GO:0000156
IPR000673	GO:0008984
IPR000675	GO:0016787
IPR000678	GO:0003677
IPR000679	GO:0003700
IPR000679	GO:0008270
IPR000679	GO:0043565
IPR000681	GO:0004939
IPR000682	GO:0004719
IPR000683	GO:0016491
IPR000684	GO:0003677
IPR000685	GO:0000287
IPR000687	GO:0004674
IPR000687	GO:0005524
IPR000688	GO:0016151
IPR000689	GO:0004497
IPR000690	GO:0003676
IPR000690	GO:0008270
IPR000691	GO:0004867
IPR000692	GO:0003723
IPR000692	GO:0008168
IPR000696	GO:0004190
IPR000699	GO:0005262
IPR000700	GO:0000155
IPR000701	GO:0016627
IPR000702	GO:0003735
IPR000702	GO:0019843
IPR000704	GO:0019887
IPR000705	GO:0004335
IPR000705	GO:0005524
